ID,SDC_GENDER,SDC_INCOME
SYN_5862256,2,6
SYN_5862257,2,5
SYN_5862258,2,3
SYN_5862259,2,NA
SYN_5862260,2,3
SYN_5862261,2,6
SYN_5862262,1,4
SYN_5862263,2,4
SYN_5862264,2,3
SYN_5862265,2,6
SYN_5862266,1,4
SYN_5862267,2,6
SYN_5862268,2,3
SYN_5862269,1,7
SYN_5862270,1,4
SYN_5862271,1,8
SYN_5862272,2,6
SYN_5862273,2,4
SYN_5862274,2,7
SYN_5862275,2,5
SYN_5862276,2,2
SYN_5862277,1,8
SYN_5862278,1,3
SYN_5862279,1,6
SYN_5862280,2,2
SYN_5862281,2,6
SYN_5862282,2,5
SYN_5862283,2,3
SYN_5862284,1,3
SYN_5862285,1,3
SYN_5862286,1,6
SYN_5862287,2,4
SYN_5862288,1,7
SYN_5862289,2,3
SYN_5862290,2,6
SYN_5862291,2,5
SYN_5862292,2,7
SYN_5862293,2,3
SYN_5862294,1,4
SYN_5862295,2,3
SYN_5862296,1,6
SYN_5862297,1,6
SYN_5862298,2,8
SYN_5862299,1,3
SYN_5862300,2,4
SYN_5862301,2,4
SYN_5862302,2,4
SYN_5862303,2,3
SYN_5862304,2,7
SYN_5862305,2,4
SYN_5862306,2,6
SYN_5862307,2,7
SYN_5862308,1,4
SYN_5862309,1,NA
SYN_5862310,2,NA
SYN_5862311,1,6
SYN_5862312,1,3
SYN_5862313,2,5
SYN_5862314,2,4
SYN_5862315,2,8
SYN_5862316,2,7
SYN_5862317,2,4
SYN_5862318,1,6
SYN_5862319,2,3
SYN_5862320,1,8
SYN_5862321,2,3
SYN_5862322,2,3
SYN_5862323,2,3
SYN_5862324,2,5
SYN_5862325,2,3
SYN_5862326,1,5
SYN_5862327,2,6
SYN_5862328,2,7
SYN_5862329,2,8
SYN_5862330,2,4
SYN_5862331,2,6
SYN_5862332,2,3
SYN_5862333,1,7
SYN_5862334,2,6
SYN_5862335,1,4
SYN_5862336,1,4
SYN_5862337,1,7
SYN_5862338,2,3
SYN_5862339,1,7
SYN_5862340,1,6
SYN_5862341,2,6
SYN_5862342,2,5
SYN_5862343,2,4
SYN_5862344,2,5
SYN_5862345,2,7
SYN_5862346,2,3
SYN_5862347,1,4
SYN_5862348,1,6
SYN_5862349,2,NA
SYN_5862350,2,NA
SYN_5862351,2,3
SYN_5862352,2,3
SYN_5862353,2,NA
SYN_5862354,2,5
SYN_5862355,2,3
SYN_5862356,2,6
SYN_5862357,1,4
SYN_5862358,2,5
SYN_5862359,2,2
SYN_5862360,2,2
SYN_5862361,2,NA
SYN_5862362,2,5
SYN_5862363,2,7
SYN_5862364,2,5
SYN_5862365,2,2
SYN_5862366,1,4
SYN_5862367,2,3
SYN_5862368,2,6
SYN_5862369,2,2
SYN_5862370,1,4
SYN_5862371,1,4
SYN_5862372,2,8
SYN_5862373,2,NA
SYN_5862374,1,4
SYN_5862375,2,5
SYN_5862376,2,3
SYN_5862377,2,4
SYN_5862378,2,4
SYN_5862379,2,4
SYN_5862380,2,6
SYN_5862381,2,7
SYN_5862382,2,5
SYN_5862383,2,3
SYN_5862384,2,6
SYN_5862385,1,5
SYN_5862386,2,3
SYN_5862387,2,NA
SYN_5862388,2,5
SYN_5862389,2,4
SYN_5862390,1,5
SYN_5862391,2,3
SYN_5862392,1,6
SYN_5862393,2,6
SYN_5862394,1,4
SYN_5862395,2,4
SYN_5862396,2,5
SYN_5862397,2,5
SYN_5862398,1,3
SYN_5862399,1,NA
SYN_5862400,1,3
SYN_5862401,2,5
SYN_5862402,2,NA
SYN_5862403,2,6
SYN_5862404,1,7
SYN_5862405,1,7
SYN_5862406,2,3
SYN_5862407,2,6
SYN_5862408,2,7
SYN_5862409,2,3
SYN_5862410,1,NA
SYN_5862411,2,3
SYN_5862412,2,NA
SYN_5862413,1,6
SYN_5862414,2,6
SYN_5862415,1,4
SYN_5862416,1,NA
SYN_5862417,2,6
SYN_5862418,2,5
SYN_5862419,1,4
SYN_5862420,2,5
SYN_5862421,2,6
SYN_5862422,2,2
SYN_5862423,2,4
SYN_5862424,2,6
SYN_5862425,2,7
SYN_5862426,2,5
SYN_5862427,2,4
SYN_5862428,2,5
SYN_5862429,2,6
SYN_5862430,2,NA
SYN_5862431,2,6
SYN_5862432,1,3
SYN_5862433,2,3
SYN_5862434,2,NA
SYN_5862435,2,3
SYN_5862436,2,6
SYN_5862437,2,3
SYN_5862438,1,5
SYN_5862439,1,4
SYN_5862440,2,3
SYN_5862441,1,6
SYN_5862442,1,3
SYN_5862443,2,NA
SYN_5862444,2,5
SYN_5862445,2,NA
SYN_5862446,1,6
SYN_5862447,1,5
SYN_5862448,1,2
SYN_5862449,2,4
SYN_5862450,1,6
SYN_5862451,2,5
SYN_5862452,2,4
SYN_5862453,2,6
SYN_5862454,1,4
SYN_5862455,2,4
SYN_5862456,2,4
SYN_5862457,2,2
SYN_5862458,2,3
SYN_5862459,1,6
SYN_5862460,1,4
SYN_5862461,1,NA
SYN_5862462,2,4
SYN_5862463,2,4
SYN_5862464,2,3
SYN_5862465,2,NA
SYN_5862466,2,NA
SYN_5862467,2,4
SYN_5862468,1,8
SYN_5862469,2,NA
SYN_5862470,1,6
SYN_5862471,1,7
SYN_5862472,2,6
SYN_5862473,1,4
SYN_5862474,2,6
SYN_5862475,1,3
SYN_5862476,2,5
SYN_5862477,2,4
SYN_5862478,2,4
SYN_5862479,2,3
SYN_5862480,1,NA
SYN_5862481,2,8
SYN_5862482,2,3
SYN_5862483,1,4
SYN_5862484,2,4
SYN_5862485,2,4
SYN_5862486,2,4
SYN_5862487,1,6
SYN_5862488,1,6
SYN_5862489,2,5
SYN_5862490,1,6
SYN_5862491,2,3
SYN_5862492,1,6
SYN_5862493,2,6
SYN_5862494,2,4
SYN_5862495,2,6
SYN_5862496,2,7
SYN_5862497,1,4
SYN_5862498,2,5
SYN_5862499,2,6
SYN_5862500,2,3
SYN_5862501,2,3
SYN_5862502,2,4
SYN_5862503,2,5
SYN_5862504,2,5
SYN_5862505,2,3
SYN_5862506,2,5
SYN_5862507,2,5
SYN_5862508,1,NA
SYN_5862509,2,6
SYN_5862510,2,NA
SYN_5862511,2,NA
SYN_5862512,2,6
SYN_5862513,1,8
SYN_5862514,2,4
SYN_5862515,1,4
SYN_5862516,2,7
SYN_5862517,1,8
SYN_5862518,2,NA
SYN_5862519,2,7
SYN_5862520,2,6
SYN_5862521,1,4
SYN_5862522,2,5
SYN_5862523,1,5
SYN_5862524,2,3
SYN_5862525,1,6
SYN_5862526,2,5
SYN_5862527,2,5
SYN_5862528,2,4
SYN_5862529,2,4
SYN_5862530,2,7
SYN_5862531,2,NA
SYN_5862532,2,NA
SYN_5862533,1,4
SYN_5862534,2,8
SYN_5862535,2,4
SYN_5862536,2,3
SYN_5862537,2,8
SYN_5862538,2,6
SYN_5862539,2,7
SYN_5862540,2,6
SYN_5862541,2,2
SYN_5862542,2,3
SYN_5862543,2,5
SYN_5862544,2,3
SYN_5862545,2,NA
SYN_5862546,2,4
SYN_5862547,1,6
SYN_5862548,1,3
SYN_5862549,2,6
SYN_5862550,1,6
SYN_5862551,2,4
SYN_5862552,1,3
SYN_5862553,2,6
SYN_5862554,2,4
SYN_5862555,2,6
SYN_5862556,2,6
SYN_5862557,2,6
SYN_5862558,2,4
SYN_5862559,2,5
SYN_5862560,2,NA
SYN_5862561,2,5
SYN_5862562,1,6
SYN_5862563,2,8
SYN_5862564,1,NA
SYN_5862565,2,4
SYN_5862566,2,5
SYN_5862567,2,4
SYN_5862568,2,5
SYN_5862569,1,5
SYN_5862570,2,6
SYN_5862571,1,5
SYN_5862572,2,7
SYN_5862573,2,4
SYN_5862574,2,6
SYN_5862575,2,4
SYN_5862576,1,5
SYN_5862577,2,4
SYN_5862578,1,6
SYN_5862579,1,6
SYN_5862580,2,4
SYN_5862581,2,4
SYN_5862582,2,6
SYN_5862583,2,NA
SYN_5862584,2,6
SYN_5862585,2,6
SYN_5862586,2,3
SYN_5862587,2,6
SYN_5862588,2,3
SYN_5862589,1,6
SYN_5862590,2,4
SYN_5862591,2,6
SYN_5862592,1,5
SYN_5862593,2,6
SYN_5862594,1,4
SYN_5862595,2,5
SYN_5862596,2,NA
SYN_5862597,2,6
SYN_5862598,1,3
SYN_5862599,1,NA
SYN_5862600,1,NA
SYN_5862601,2,3
SYN_5862602,2,6
SYN_5862603,2,3
SYN_5862604,2,7
SYN_5862605,2,3
SYN_5862606,2,3
SYN_5862607,2,4
SYN_5862608,2,5
SYN_5862609,2,4
SYN_5862610,2,4
SYN_5862611,2,6
SYN_5862612,1,4
SYN_5862613,2,7
SYN_5862614,1,6
SYN_5862615,2,NA
SYN_5862616,1,NA
SYN_5862617,2,4
SYN_5862618,2,4
SYN_5862619,1,4
SYN_5862620,2,2
SYN_5862621,1,NA
SYN_5862622,2,7
SYN_5862623,2,4
SYN_5862624,2,4
SYN_5862625,1,NA
SYN_5862626,2,6
SYN_5862627,1,NA
SYN_5862628,2,5
SYN_5862629,1,6
SYN_5862630,2,6
SYN_5862631,1,3
SYN_5862632,2,4
SYN_5862633,1,5
SYN_5862634,1,6
SYN_5862635,2,4
SYN_5862636,1,6
SYN_5862637,2,1
SYN_5862638,2,5
SYN_5862639,2,4
SYN_5862640,1,7
SYN_5862641,2,5
SYN_5862642,2,5
SYN_5862643,1,5
SYN_5862644,1,5
SYN_5862645,2,7
SYN_5862646,2,3
SYN_5862647,2,3
SYN_5862648,2,6
SYN_5862649,2,7
SYN_5862650,2,6
SYN_5862651,1,NA
SYN_5862652,1,NA
SYN_5862653,1,4
SYN_5862654,1,6
SYN_5862655,2,1
SYN_5862656,2,6
SYN_5862657,2,3
SYN_5862658,2,NA
SYN_5862659,1,NA
SYN_5862660,2,4
SYN_5862661,2,4
SYN_5862662,1,4
SYN_5862663,2,4
SYN_5862664,2,7
SYN_5862665,2,4
SYN_5862666,2,3
SYN_5862667,2,8
SYN_5862668,1,4
SYN_5862669,1,7
SYN_5862670,2,NA
SYN_5862671,1,4
SYN_5862672,2,6
SYN_5862673,1,NA
SYN_5862674,1,8
SYN_5862675,2,5
SYN_5862676,2,7
SYN_5862677,2,2
SYN_5862678,1,6
SYN_5862679,2,4
SYN_5862680,2,4
SYN_5862681,1,4
SYN_5862682,2,6
SYN_5862683,1,3
SYN_5862684,1,8
SYN_5862685,2,6
SYN_5862686,2,4
SYN_5862687,2,4
SYN_5862688,1,6
SYN_5862689,2,3
SYN_5862690,1,3
SYN_5862691,2,6
SYN_5862692,2,6
SYN_5862693,2,3
SYN_5862694,2,5
SYN_5862695,2,4
SYN_5862696,2,3
SYN_5862697,2,4
SYN_5862698,2,6
SYN_5862699,2,4
SYN_5862700,1,4
SYN_5862701,1,6
SYN_5862702,2,NA
SYN_5862703,1,NA
SYN_5862704,2,8
SYN_5862705,2,5
SYN_5862706,2,3
SYN_5862707,1,8
SYN_5862708,1,4
SYN_5862709,2,4
SYN_5862710,1,5
SYN_5862711,1,5
SYN_5862712,2,NA
SYN_5862713,2,7
SYN_5862714,2,6
SYN_5862715,1,3
SYN_5862716,1,4
SYN_5862717,1,4
SYN_5862718,2,6
SYN_5862719,2,6
SYN_5862720,1,5
SYN_5862721,1,3
SYN_5862722,1,6
SYN_5862723,2,NA
SYN_5862724,2,5
SYN_5862725,2,NA
SYN_5862726,2,4
SYN_5862727,2,8
SYN_5862728,2,3
SYN_5862729,2,3
SYN_5862730,2,NA
SYN_5862731,1,6
SYN_5862732,1,6
SYN_5862733,1,5
SYN_5862734,2,3
SYN_5862735,1,4
SYN_5862736,2,1
SYN_5862737,1,3
SYN_5862738,2,4
SYN_5862739,1,4
SYN_5862740,2,4
SYN_5862741,2,4
SYN_5862742,1,7
SYN_5862743,2,4
SYN_5862744,2,5
SYN_5862745,2,6
SYN_5862746,2,6
SYN_5862747,2,3
SYN_5862748,2,6
SYN_5862749,1,4
SYN_5862750,2,8
SYN_5862751,2,5
SYN_5862752,2,6
SYN_5862753,2,4
SYN_5862754,1,3
SYN_5862755,2,5
SYN_5862756,1,6
SYN_5862757,1,6
SYN_5862758,2,3
SYN_5862759,2,4
SYN_5862760,2,5
SYN_5862761,2,4
SYN_5862762,2,4
SYN_5862763,2,5
SYN_5862764,2,5
SYN_5862765,1,3
SYN_5862766,1,5
SYN_5862767,2,4
SYN_5862768,1,6
SYN_5862769,2,7
SYN_5862770,2,2
SYN_5862771,2,6
SYN_5862772,2,6
SYN_5862773,2,3
SYN_5862774,1,4
SYN_5862775,2,3
SYN_5862776,1,4
SYN_5862777,2,4
SYN_5862778,1,6
SYN_5862779,2,NA
SYN_5862780,2,3
SYN_5862781,2,3
SYN_5862782,2,3
SYN_5862783,2,5
SYN_5862784,2,5
SYN_5862785,2,6
SYN_5862786,1,5
SYN_5862787,2,4
SYN_5862788,2,4
SYN_5862789,2,NA
SYN_5862790,2,6
SYN_5862791,1,5
SYN_5862792,1,4
SYN_5862793,1,4
SYN_5862794,1,6
SYN_5862795,2,4
SYN_5862796,1,3
SYN_5862797,2,6
SYN_5862798,2,4
SYN_5862799,2,6
SYN_5862800,2,4
SYN_5862801,1,5
SYN_5862802,1,NA
SYN_5862803,1,4
SYN_5862804,2,3
SYN_5862805,1,6
SYN_5862806,1,6
SYN_5862807,2,6
SYN_5862808,2,6
SYN_5862809,2,4
SYN_5862810,2,3
SYN_5862811,2,6
SYN_5862812,2,5
SYN_5862813,1,7
SYN_5862814,2,6
SYN_5862815,2,5
SYN_5862816,1,NA
SYN_5862817,2,4
SYN_5862818,1,5
SYN_5862819,2,4
SYN_5862820,1,4
SYN_5862821,2,4
SYN_5862822,2,3
SYN_5862823,2,5
SYN_5862824,2,5
SYN_5862825,2,6
SYN_5862826,2,3
SYN_5862827,2,1
SYN_5862828,2,3
SYN_5862829,2,3
SYN_5862830,2,6
SYN_5862831,2,3
SYN_5862832,2,5
SYN_5862833,1,8
SYN_5862834,2,7
SYN_5862835,2,4
SYN_5862836,1,3
SYN_5862837,1,NA
SYN_5862838,2,6
SYN_5862839,1,6
SYN_5862840,2,2
SYN_5862841,1,3
SYN_5862842,2,NA
SYN_5862843,2,NA
SYN_5862844,2,7
SYN_5862845,1,4
SYN_5862846,2,3
SYN_5862847,2,5
SYN_5862848,2,3
SYN_5862849,1,6
SYN_5862850,2,2
SYN_5862851,2,6
SYN_5862852,1,NA
SYN_5862853,2,4
SYN_5862854,2,6
SYN_5862855,2,4
SYN_5862856,2,3
SYN_5862857,2,4
SYN_5862858,2,NA
SYN_5862859,2,6
SYN_5862860,2,5
SYN_5862861,1,6
SYN_5862862,1,3
SYN_5862863,1,NA
SYN_5862864,2,8
SYN_5862865,2,3
SYN_5862866,2,3
SYN_5862867,2,4
SYN_5862868,1,4
SYN_5862869,2,4
SYN_5862870,1,5
SYN_5862871,2,4
SYN_5862872,2,5
SYN_5862873,2,3
SYN_5862874,2,6
SYN_5862875,2,8
SYN_5862876,2,4
SYN_5862877,1,7
SYN_5862878,2,4
SYN_5862879,1,8
SYN_5862880,1,3
SYN_5862881,2,2
SYN_5862882,2,1
SYN_5862883,2,6
SYN_5862884,2,3
SYN_5862885,1,3
SYN_5862886,1,4
SYN_5862887,1,NA
SYN_5862888,1,4
SYN_5862889,1,4
SYN_5862890,1,7
SYN_5862891,1,6
SYN_5862892,2,5
SYN_5862893,2,5
SYN_5862894,2,6
SYN_5862895,1,4
SYN_5862896,2,6
SYN_5862897,2,4
SYN_5862898,2,5
SYN_5862899,2,3
SYN_5862900,2,4
SYN_5862901,1,5
SYN_5862902,2,6
SYN_5862903,2,6
SYN_5862904,2,5
SYN_5862905,2,3
SYN_5862906,2,6
SYN_5862907,2,3
SYN_5862908,2,3
SYN_5862909,2,NA
SYN_5862910,2,7
SYN_5862911,2,5
SYN_5862912,2,4
SYN_5862913,2,4
SYN_5862914,1,4
SYN_5862915,2,7
SYN_5862916,2,NA
SYN_5862917,1,5
SYN_5862918,1,4
SYN_5862919,2,2
SYN_5862920,1,6
SYN_5862921,2,6
SYN_5862922,2,5
SYN_5862923,1,4
SYN_5862924,2,4
SYN_5862925,2,6
SYN_5862926,2,4
SYN_5862927,1,7
SYN_5862928,2,4
SYN_5862929,1,6
SYN_5862930,1,3
SYN_5862931,1,NA
SYN_5862932,1,3
SYN_5862933,2,3
SYN_5862934,2,4
SYN_5862935,1,2
SYN_5862936,1,NA
SYN_5862937,2,7
SYN_5862938,1,NA
SYN_5862939,2,5
SYN_5862940,2,6
SYN_5862941,2,6
SYN_5862942,2,6
SYN_5862943,1,7
SYN_5862944,2,1
SYN_5862945,2,8
SYN_5862946,2,4
SYN_5862947,2,NA
SYN_5862948,1,6
SYN_5862949,2,6
SYN_5862950,2,7
SYN_5862951,2,4
SYN_5862952,2,7
SYN_5862953,1,8
SYN_5862954,1,5
SYN_5862955,2,5
SYN_5862956,1,5
SYN_5862957,1,3
SYN_5862958,2,8
SYN_5862959,1,7
SYN_5862960,1,3
SYN_5862961,2,3
SYN_5862962,1,7
SYN_5862963,2,6
SYN_5862964,2,4
SYN_5862965,1,5
SYN_5862966,2,6
SYN_5862967,2,5
SYN_5862968,1,4
SYN_5862969,2,7
SYN_5862970,2,4
SYN_5862971,1,4
SYN_5862972,2,7
SYN_5862973,1,5
SYN_5862974,2,6
SYN_5862975,2,NA
SYN_5862976,2,3
SYN_5862977,1,3
SYN_5862978,2,4
SYN_5862979,2,5
SYN_5862980,1,5
SYN_5862981,2,2
SYN_5862982,2,3
SYN_5862983,2,5
SYN_5862984,2,5
SYN_5862985,2,6
SYN_5862986,1,7
SYN_5862987,2,7
SYN_5862988,1,6
SYN_5862989,2,3
SYN_5862990,2,NA
SYN_5862991,2,6
SYN_5862992,2,4
SYN_5862993,2,NA
SYN_5862994,2,5
SYN_5862995,2,5
SYN_5862996,2,NA
SYN_5862997,2,6
SYN_5862998,2,7
SYN_5862999,2,4
SYN_58621000,2,5
SYN_58621001,1,6
SYN_58621002,2,3
SYN_58621003,2,3
SYN_58621004,2,5
SYN_58621005,2,NA
SYN_58621006,2,6
SYN_58621007,1,4
SYN_58621008,2,5
SYN_58621009,2,4
SYN_58621010,1,3
SYN_58621011,1,NA
SYN_58621012,1,5
SYN_58621013,2,4
SYN_58621014,2,NA
SYN_58621015,2,4
SYN_58621016,1,7
SYN_58621017,1,8
SYN_58621018,1,5
SYN_58621019,2,NA
SYN_58621020,2,5
SYN_58621021,1,5
SYN_58621022,2,6
SYN_58621023,1,4
SYN_58621024,1,4
SYN_58621025,1,4
SYN_58621026,2,5
SYN_58621027,2,3
SYN_58621028,2,5
SYN_58621029,2,NA
SYN_58621030,2,4
SYN_58621031,2,5
SYN_58621032,2,4
SYN_58621033,1,5
SYN_58621034,2,4
SYN_58621035,1,3
SYN_58621036,2,5
SYN_58621037,2,2
SYN_58621038,1,4
SYN_58621039,2,6
SYN_58621040,2,4
SYN_58621041,1,4
SYN_58621042,2,6
SYN_58621043,1,NA
SYN_58621044,2,6
SYN_58621045,2,4
SYN_58621046,1,7
SYN_58621047,2,3
SYN_58621048,2,6
SYN_58621049,1,3
SYN_58621050,1,3
SYN_58621051,2,3
SYN_58621052,1,7
SYN_58621053,1,NA
SYN_58621054,2,4
SYN_58621055,2,3
SYN_58621056,1,6
SYN_58621057,1,3
SYN_58621058,2,3
SYN_58621059,1,4
SYN_58621060,2,4
SYN_58621061,2,3
SYN_58621062,2,3
SYN_58621063,2,6
SYN_58621064,1,6
SYN_58621065,1,7
SYN_58621066,2,5
SYN_58621067,2,6
SYN_58621068,1,4
SYN_58621069,2,2
SYN_58621070,2,4
SYN_58621071,2,4
SYN_58621072,1,NA
SYN_58621073,2,NA
SYN_58621074,1,3
SYN_58621075,2,5
SYN_58621076,2,4
SYN_58621077,1,4
SYN_58621078,1,NA
SYN_58621079,2,6
SYN_58621080,1,4
SYN_58621081,2,4
SYN_58621082,1,5
SYN_58621083,2,7
SYN_58621084,2,5
SYN_58621085,1,3
SYN_58621086,2,3
SYN_58621087,2,4
SYN_58621088,2,4
SYN_58621089,1,4
SYN_58621090,1,5
SYN_58621091,2,7
SYN_58621092,2,6
SYN_58621093,1,NA
SYN_58621094,2,5
SYN_58621095,2,4
SYN_58621096,2,7
SYN_58621097,2,4
SYN_58621098,2,8
SYN_58621099,1,6
SYN_58621100,1,6
SYN_58621101,1,6
SYN_58621102,1,5
SYN_58621103,2,6
SYN_58621104,2,2
SYN_58621105,1,5
SYN_58621106,1,8
SYN_58621107,2,3
SYN_58621108,2,6
SYN_58621109,2,8
SYN_58621110,2,NA
SYN_58621111,1,4
SYN_58621112,2,6
SYN_58621113,2,1
SYN_58621114,2,4
SYN_58621115,2,5
SYN_58621116,1,NA
SYN_58621117,2,6
SYN_58621118,1,4
SYN_58621119,2,4
SYN_58621120,2,8
SYN_58621121,2,3
SYN_58621122,2,3
SYN_58621123,2,6
SYN_58621124,2,6
SYN_58621125,2,5
SYN_58621126,2,3
SYN_58621127,2,8
SYN_58621128,2,5
SYN_58621129,2,4
SYN_58621130,1,6
SYN_58621131,2,5
SYN_58621132,1,4
SYN_58621133,2,4
SYN_58621134,2,3
SYN_58621135,1,4
SYN_58621136,1,6
SYN_58621137,2,8
SYN_58621138,2,5
SYN_58621139,2,3
SYN_58621140,2,3
SYN_58621141,2,3
SYN_58621142,2,5
SYN_58621143,1,3
SYN_58621144,2,4
SYN_58621145,1,6
SYN_58621146,2,3
SYN_58621147,2,3
SYN_58621148,1,7
SYN_58621149,2,3
SYN_58621150,2,3
SYN_58621151,2,1
SYN_58621152,2,6
SYN_58621153,2,6
SYN_58621154,2,5
SYN_58621155,2,4
SYN_58621156,2,6
SYN_58621157,2,3
SYN_58621158,2,3
SYN_58621159,2,3
SYN_58621160,1,4
SYN_58621161,2,4
SYN_58621162,2,2
